所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_EBIKE,电助力自行车,E-Bike,Vélo électrique,E-Bike,Bicicleta eléctrica,E-bike,E‑Bike,전기자전거,E-BIKE,Электровелосипед,E‑bike,電輔車,E-bike,E‑bike,Elcykel,Elsykkel,E-bike
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_HEAD_LIGHT,前灯,Headlight,Phare,Frontlicht,Luces delanteras,Fanale,Farol,전조등,ヘッドライト,Передний фонарь,Przednie światło,前燈,Forlygte,Přední světlo,Framlampa,Frontlykt,Koplamp
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_HR,心率,Heart Rate,Fréquence cardiaque,Herzfrequenz,Frecuencia cardíaca,Frequenza cardiaca,Frequência Cardíaca,심박,心拍,Пульс,Tętno,心率,Puls,Tepová frekvence,Puls,Hjertefrekvens,Hartslag
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_CAD,踏频,Cadence,Cadence,Trittfrequenz,Cadencia,Cadenza,Cadência,케이던스,ケイデンス,Каденс,Kadencja,踏頻,Kadence,Kadence,Kadens,Kadens,Cadans
首页、表盘页、骑行主页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_RADAR,雷达,Radar,Radar,Radar,Radar,Radar,Radar,레이더,レーダー,Радар,Radar,雷達,Radar,Radar,Radar,Radar,Radar
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_PWR,功率,Power,Puissance,Leistung,Potenciometro,Potenza,Potência,파워,パワー,Мощность,Moc,功率,Watt,Výkon,Effekt,Watt,Vermogen
首页、训练主页、传感器列表页、传感器搜索页、传感器搜索类型选择页、传感器详情页、车灯组网页、传感器低电量提醒弹窗,H5,KW_SENSOR_TAIL_LIGHT,尾灯,Tail Light,Feu arrière,Rücklicht,Luz trasera,Luce post.,Luz Traseira,후미등,テールライト,Задний фонарь,Tylne światło,尾燈,Baglygte,Zadní světlo,Baklampa,Baklykt,Achterlicht
说明页、车灯组网说明页、爬坡说明页,,KW_SENSOR_STATEMENT,说明,Instruction,Instructions,Anleitung,Instrucción,Istruzioni,Instruções,안내,説明,Инструкция,Instrukcja,說明,Vejledning,Instrukce,Instruktion,Instruksjoner,Instructie
电变传感器详情页-模式切换,,KW_SENSOR_SWITCH_SUCCESS,切换成功,Switch Successful,Changement réussi,Wechsel erfolgreich,Cambio exitoso,Cambio riuscito,Alternância Bem-sucedida,전환 성공,切り替え成功,Переключение выполнено,Przełączono pomyślnie,切換成功,Skift lykkedes,Přepnutí úspěšné,Bytet lyckades,Vellykket byttet,Wisselen geslaagd
电变传感器详情页-选择器,,KW_SENSOR_DETAIL_ITEM_TITLE_SCENE,场景,Scene,Scène,Szene,Escena,Scena,Cenário,씬,シーン,Сценарий,Scena,場景,Scene,Scéna,Scen,Skjermbilde,Scène
电变传感器详情页,,KW_SENSOR_SHIFT_OPTION_SCENE,场景,Scene,Scène,Szene,Escena,Scena,Cenário,씬,シーン,Сценарий,Scena,場景,Scene,Scéna,Scen,Skjermbilde,Scène
电变传感器详情页,,KW_SENSOR_NO_MORE_SCENE_NOTICE,无更多场景，请使用APP创建更多场景,No more scenes available. Please use the APP to create more scenes.,Aucune autre scène disponible. Veuillez utiliser l'APP pour créer plus de scènes.,"Keine weiteren Szenen verfügbar. Bitte verwenden Sie die APP, um weitere Szenen zu erstellen.",No hay más escenas disponibles. Usa la APP para crear más escenas.,Non ci sono altre scene disponibili. Usa l'app per creare altre scene.,"Não há mais cenários disponíveis, use a APP para criar mais cenários",사용 가능한 씬이 더 이상 없습니다. 앱에서 새로운 씬을 생성해 주세요.,これ以上シーンはありません。APPでさらにシーンを作成してください。,"Больше сцен нет. Пожалуйста, используйте приложение, чтобы создать больше сцен.","Brak kolejnych scen. Użyj APP, aby utworzyć więcej scen.",無更多場景，請使用APP建立更多場景,Der er ikke flere scener. Brug APP'en til at oprette flere scener.,Nejsou k dispozici žádné další scény. Použijte aplikaci k vytvoření dalších scén.,Inga fler scener tillgängliga.\nAnvänd appen för att skapa fler scener.,Ingen flere skjermbilder tilgjengelig. Bruk appen til å opprette flere.,Geen extra scènes beschikbaar. Gebruik de app om meer scènes te maken.
电变传感器详情页,,KW_SENSOR_SCENE_CHANGE_SUCCESS_REMINDER,场景切换成功,Switch successful,Changement réussi,Wechsel erfolgreich,Cambio exitoso,Cambio riuscito,Alternância bem-sucedida,전환 성공,切り替え成功,Переключение выполнено,Przełączono pomyślnie,場景切換成功,Skift lykkedes,Přepnutí úspěšné,Byte lyckades,Vellykket byttet,Schakelen gelukt
电变传感器详情页,,KW_SENSOR_SCENE_CHANGE_FAIL_REMINDER,场景切换失败，请重试,Failed. Please try again.,Échec. Veuillez réessayer.,Fehlgeschlagen. Bitte versuchen Sie es erneut.,"Falló. Por favor, inténtelo de nuevo.",Non riuscito. Riprova.,Falhou. Tente novamente.,실패했습니다. 다시 시도하세요.,失敗しました。もう一度お試しください。,"Ошибка переключения, попробуйте снова",Niepowodzenie. Spróbuj ponownie.,場景切換失敗，請重試,Mislykkedes. Prøv igen.,Nezdařilo se. Zkuste to znovu.,Misslyckades.\nFörsök igen.,Mislyktes. Prøv igjen.,Mislukt. Probeer het opnieuw.
电变传感器详情页,,KW_SENSOR_SCENE_CHANGING_REMINDER,切换中...,Switching...,Changement...,Wechseln...,Cambiando…,Cambio in corso...,A processar …,전환 중…,切り替え中...,Переключение...,Przełączanie...,切換中...,Skifter...,Přepínání...,Växlar...,Girer...,Schakelen...
电变传感器详情页,,KW_SENSOR_DETAIL_ITEM_TITLE_GEAR_MODE,变速模式,Shifting Mode,Mode de changement,Schaltmodus,Modo de cambio,Modalità cambio,Modo de Mudança,변속 모드,変速モード,Режим перек. Передач,Tryb zmiany biegów,變速模式,Gearskiftetilstand,Režim řazení,Växlingsläge,Girmodus,Schakelmodus
电变传感器详情页,,KW_SENSOR_GEAR_MODE_NORMAL,标准变速,Normal Shift Mode,Mode normal,Normaler Schaltmodus,Modo de cambio normal,Modalità cambio normale,Modo de Mudança Normal,일반 변속 모드,ノーマル変速,Стандартный режим,Normalny tryb zmiany biegów,標準變速,Normal gearskiftetilstand,Normální režim řazení,Normalt växlingsläge,Normal girmodus,Normale schakelmodus
电变传感器详情页,,KW_SENSOR_GEAR_MODE_ORDER,序列变速,Sequential Shift Mode,Mode séquentiel,Sequenzieller Schaltmodus,Modo de cambio secuencial,Modalità cambio sequenziale,Modo de Mudança Sequencial,시퀀셜 변속 모드,シーケンシャル変速,Последовательный режим,Sekwencyjny tryb zmiany biegów,序列變速,Sekventiel gearskiftetilstand,Sekvenční režim řazení,Sekventiellt växlingsläge,Sekvensiell girmodus,Sequentiële schakelmodus
电变传感器详情页,,KW_SENSOR_GEAR_MODE_COMPENSATION,补偿变速,Compensating Shift Mode,Mode compensatoire,Kompensierender Schaltmodus,Modo de cambio de compensación,Modalità cambio compensata,Modo de Mudança Compensada,오프셋 보정 모드,補正変速,Компенсационный режим,Kompensacyjny tryb zmiany biegów,補償變速,Kompensations-tilstand,Kompenzační režim řazení,Kompenserande växlingsläge,Kompenserende girmodus,Compenserende schakelmodus
电变传感器详情页,,KW_SENSOR_GEAR_MODE_CHAGNE_FAIL,变速模式切换失败，请重试,"Mode switching failed,try again","Échec du changement de mode, réessayez","Moduswechsel fehlgeschlagen, bitte erneut versuchen","Error al cambiar de modo,inténtelo de nuevo","Cambio modalità non riuscito, riprova","Falha ao alternar o modo,tente novamente",모드 전환에 실패했습니다. 다시 시도해 주세요.,モード切り替えに失敗しました。再試行してください,"Не удалось переключить режим, попробуйте снова","Nie udało się przełączyć trybu, spróbuj ponownie",變速模式切換失敗，請重試,"Tilstandsskift mislykkedes, prøv igen","Přepnutí režimu se nezdařilo, zkuste to znovu","Lägesbyte misslyckades, försök igen",Modusbytte mislyktes. Prøv igjen.,"Modus wisselen mislukt, probeer opnieuw"
电变传感器详情页,,KW_SENSOR_SCENE_CHANGE_TITLE,确定切换至【%s】？,Are you sure to shift [%s]?,Voulez-vous passer à [%s] ?,Möchten Sie wirklich auf [%s] schalten?,¿Estás seguro de cambiar [%s]?,Confermi cambio [%s]?,Tem a certeza que quer mudar para [%s]?,[%s](으)로 변속할까요?,[%s]に切り替えますか？,Переключиться на [%s]?,Na pewno przełączyć na [%s]?,確定切換至【%s】？,Vil du skifte til [%s]?,Opravdu přepnout na [%s]?,Är du säker på att du vill växla till [%s]?,Er du sikker på at du vil gire til %s?,Weet je zeker dat je naar [%s] wilt schakelen?
电变传感器详情页、电变切换,,KW_SENSOR_SCENE_CHANGE_CONTENT,请转动曲柄，并点击确定,Turn the Crank and click OK,Tournez le pédalier et appuyez sur OK,Drehen Sie die Kurbel und klicken Sie auf OK,Gire la biela y haga clic en Aceptar.,Gira la pedivella e premi OK,Rode o pedaleiro e toque em OK,크랭크를 돌돌리고 OK를 눌러 주세요.,クランクを回してOKを押してください,Прокрутите шатуны и нажмите «ОК»,Obróć korbą i kliknij OK,請轉動曲柄，並點選確定,Drej kranken og tryk OK,Otočte klikami a stiskněte OK,Vrid veven och tryck på OK,Roter kranken og trykk OK,Draai aan de crank en klik op OK
传感器列表页,,KW_SENSOR_SHIFT_GEAR_FRONT_AND_BACK1,电变档位:%d/%d,Gear:%d/%d,Vitesse:%d/%d,Gang:%d/%d,Engranaje:%d/%d,Marcia:%d/%d,Mudança:%d/%d,기어: %d/%d,ギア:%d/%d,Передача:%d/%d,Bieg:%d/%d,電變檔位:%d/%d,Gear:%d/%d,Převod:%d/%d,Växel:%d/%d,Gir: %d/%d,Versnelling:%d/%d
传感器列表页,,KW_SENSOR_SHIFT_GEAR_FRONT_AND_BACK2,电变档位:--/%d,Gear:--/%d,Vitesse:--/%d,Gang:--/%d,Engranaje:--/%d,Marcia:--/%d,Mudança:--/%d,기어: --/%d,ギア:--/%d,Передача:--/%d,Bieg:--/%d,電變檔位:--/%d,Gear:--/%d,Převod:--/%d,Växel:--/%d,Gir: --/%d,Versnelling:--/%d
传感器列表页,,KW_SENSOR_SHIFT_GEAR_FRONT_AND_BACK3,电变档位:%d/--,Gear:%d/--,Vitesse:%d/--,Gang:%d/--,Engranaje:%d/--,Marcia:%d/--,Mudança:%d/--,기어: %d/--,ギア:%d/--,Передача:%d/--,Bieg:%d/--,電變檔位:%d/--,Gear:%d/--,Převod:%d/--,Växel:%d/--,Gir: %d/--,Versnelling:%d/--
传感器列表页,,KW_SENSOR_SHIFT_GEAR_FRONT_AND_BACK4,电变档位:--/--,Gear:--/--,Vitesse:--/--,Gang:--/--,Engranaje:--/--,Marcia:--/--,Mudança:--/--,기어: --/--,ギア:--/--,Передача:--/--,Bieg:--/--,電變檔位:--/--,Gear:--/--,Převod:--/--,Växel:--/--,Gir: --/--,Versnelling:--/--
传感器详情页、传感器详情页的忘记确认弹窗,,KW_SENSOR_FORGET,忘记,Forget,Oublier,Entfernen,Olvidar,Dimentica,Esquecer,삭제,登録解除,Забыть,Zapomnij,解除,Glem,Zapomenout,Glöm,Glem enhet,Vergeten
传感器详情页,,KW_SENSOR_DEVICE_TYPE,设备类型,Device Type,Type d'appareil,Gerätetyp,Tipo de dispositivo,Tipo dispositivo,Tipo,기기 유형,デバイス種別,Тип устройства,Typ urządzenia,設備類型,Enhedstype,Typ zařízení,Enhetstyp,Enhetstype,Apparaattype
传感器详情页,,KW_SENSOR_DEVICE_ID,设备ID,Device ID,ID de l'appareil,Geräte-ID,ID del dispositivo,ID dispositivo,ID,기기 ID,デバイスID,ID устройства,ID urządzenia,設備ID,Enheds-ID,ID zařízení,Enhets-ID,Enhets-ID,Apparaat-ID
传感器详情页,,KW_SENSOR_DEVICE_PROTOCOL,协议,Protocol,Protocole,Protokoll,Protocolo,Protocollo,Protocolo,프로토콜,プロトコル,Протокол,Protokół,協定,Protokol,Protokol,Protokoll,Protokoll,Protocol
传感器列表页,,KW_SENSOR_NO_SENSOR_NOTICE,暂无传感器，请添加～,"No sensors available, please add","Aucun capteur disponible, veuillez en ajouter","Keine Sensoren verfügbar, bitte hinzufügen","No hay sensores disponibles. Por favor, añada alguno.","Nessun sensore disponibile, aggiungi","Sem sensores disponíveis, adicione",사용 가능한 센서가 없습니다. 센서를 추가해 주세요.,センサーがありません。追加してください,Датчики не подключены. Добавьте датчик,"Brak czujników, dodaj",暫無感測器，請新增～,"Ingen sensorer tilgængelige, tilføj venligst","Žádné senzory nejsou k dispozici, přidejte","Inga sensorer tillgängliga, lägg till",Ingen sensorer tilgjengelig. Vennligst legg til.,"Geen sensoren beschikbaar, voeg er een toe"
传感器搜索页、传感器搜索类型选择页,H5,KW_SENSOR_SEARCH_ALL,搜索全部,Search All,Rechercher tout,Alle suchen,Buscar todo,Cerca tutti,Pesquisar Tudo,전체 검색,すべて検索,Найти все,Szukaj wszystkich,搜尋全部,Søg alle,Hledat vše,Sök alla,Søk etter alle,Alles zoeken
传感器搜索类型选择页,,KW_SENSOR_ADD_SENSOR,添加传感器,Add Sensor,Ajouter un capteur,Sensor hinzufügen,Agregar sensor,Aggiungi sensore,Adicionar Sensor,센서 추가,センサー追加,Добавить датчик,Dodaj czujnik,新增感測器,Tilføj sensor,Přidat senzor,Lägg till sensor,Legg til sensor,Sensor toevoegen
传感器列表页、传感器搜索页、传感器详情页、车灯组网页,,KW_SENSOR_DEVICE_PROTOCOL_BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE,BLE
传感器列表页、传感器搜索页、传感器详情页、车灯组网页,,KW_SENSOR_DEVICE_PROTOCOL_ANT,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+,ANT+
忘记传感器弹窗,,KW_SENSOR_FORGET_SENSOR_REMINDER,忘记传感器?,Forget Sensor?,Oublier le capteur ?,Sensor entfernen?,¿Olvidar sensor?,Dimenticare sensore?,Esquecer Sensor?,센서를 삭제할까요?,センサーを登録解除しますか？,Забыть датчик?,Zapomnieć czujnik?,解除感測器？,Glem sensor?,Zapomenout senzor?,Glöm sensor?,Fjern sensor?,Sensor vergeten?
传感器搜索页的数量上限提醒弹窗,,KW_SENSOR_REMEMBER_NUM_LIMIT_REMINDER,当前类别传感器可记住个数已达上限,Maximum number of sensors for this category reached,Nombre maximal de capteurs atteint pour cette catégorie,Maximale Anzahl an Sensoren für diese Kategorie erreicht,Número máximo de sensores para esta categoría alcanzado.,Numero massimo di sensori per questa categoria raggiunto,Número máximo de sensores desta categoria atingido,이 카테고리에 등록할 수 있는 센서 수의 최대치에 도달했습니다.,このカテゴリのセンサー数が上限になりました,Лимит датчиков этой категории исчерпан,Osiągnięto maksymalną liczbę czujników dla tej kategorii,目前類別感測器可記憶數量數已達上限,Maksimalt antal sensorer for denne kategori er nået,Dosažen maximální počet senzorů pro tuto kategorii,Maximalt antal sensorer för denna kategori har nåtts,Maksimalt antall sensorer for denne kategorien er nådd,Maximumaantal sensoren voor deze categorie bereikt
传感器搜索页,,KW_SENSOR_BLE_CONNECT_NUM_LIMIT_REMINDER,蓝牙可稳定连接设备已达上限,Maximum number of Bluetooth devices that can be stably connected reached,Nombre maximal d'appareils Bluetooth pouvant être connectés de façon stable atteint,Maximale Anzahl stabil verbindbarer Bluetooth-Geräte erreicht,Número máximo de dispositivos Bluetooth que pueden conectarse de forma estable alcanzado,Numero massimo di dispositivi Bluetooth collegabili in modo stabile raggiunto,Número máximo de dispositivos Bluetooth que podem ligar-se de forma estável atingido,안정적으로 연결 가능한 Bluetooth 기기 최대 개수에 도달했습니다,安定して接続できるBluetoothデバイス数が上限になりました,Достигнут максимум стабильно подключённых Bluetooth-устройств,Osiągnięto maksymalną liczbę stabilnie połączonych urządzeń Bluetooth,藍牙可穩定連接設備已達上限,Maksimalt antal Bluetooth-enheder er nået,Dosažen maximální počet Bluetooth zařízení se stabilním připojením,Maximalt antal Bluetooth-enheter som kan anslutas stabilt har nåtts,Maksimalt antall stabile Bluetooth-tilkoblinger er nådd.,Maximumaantal Bluetooth-apparaten dat stabiel kan worden verbonden bereikt
